year,country,brand,sales
2000,Australia,Audi,231
2000,Australia,BMW,243
2000,Australia,Chevrolet,233
2000,Australia,Chrysler,251
2000,Australia,Dodge,185
2000,Australia,Ford,235
2000,Australia,Honda,218
2000,Australia,Hyundai,219
2000,Australia,Jeep,227
2000,Australia,Kia,226
2000,Australia,Land Rover,220
2000,Australia,Lexus,195
2000,Australia,Mazda,235
2000,Australia,Mercedes-Benz,202
2000,Australia,Nissan,233
2000,Australia,Subaru,226
2000,Australia,Toyota,239
2000,Australia,Volkswagen,226
2000,Brazil,Audi,234
2000,Brazil,BMW,220
2000,Brazil,Chevrolet,228
2000,Brazil,Chrysler,218
2000,Brazil,Dodge,198
2000,Brazil,Ford,216
2000,Brazil,Honda,221
2000,Brazil,Hyundai,223
2000,Brazil,Jeep,253
2000,Brazil,Kia,225
2000,Brazil,Land Rover,277
2000,Brazil,Lexus,203
2000,Brazil,Mazda,229
2000,Brazil,Mercedes-Benz,214
2000,Brazil,Nissan,220
2000,Brazil,Subaru,233
2000,Brazil,Toyota,212
2000,Brazil,Volkswagen,229
2000,Canada,Audi,225
2000,Canada,BMW,241
2000,Canada,Chevrolet,199
2000,Canada,Chrysler,207
2000,Canada,Dodge,229
2000,Canada,Ford,235
2000,Canada,Honda,213
2000,Canada,Hyundai,237
2000,Canada,Jeep,239
2000,Canada,Kia,226
2000,Canada,Land Rover,209
2000,Canada,Lexus,206
2000,Canada,Mazda,241
2000,Canada,Mercedes-Benz,231
2000,Canada,Nissan,240
2000,Canada,Subaru,220
2000,Canada,Toyota,207
2000,Canada,Volkswagen,236
2000,France,Audi,239
2000,France,BMW,224
2000,France,Chevrolet,208
2000,France,Chrysler,181
2000,France,Dodge,227
2000,France,Ford,202
2000,France,Honda,198
2000,France,Hyundai,223
2000,France,Jeep,239
2000,France,Kia,232
2000,France,Land Rover,215
2000,France,Lexus,213
2000,France,Mazda,203
2000,France,Mercedes-Benz,198
2000,France,Nissan,247
2000,France,Subaru,244
2000,France,Toyota,212
2000,France,Volkswagen,198
2000,Germany,Audi,223
2000,Germany,BMW,224
2000,Germany,Chevrolet,211
2000,Germany,Chrysler,219
2000,Germany,Dodge,224
2000,Germany,Ford,230
2000,Germany,Honda,223
2000,Germany,Hyundai,223
2000,Germany,Jeep,220
2000,Germany,Kia,205
2000,Germany,Land Rover,222
2000,Germany,Lexus,219
2000,Germany,Mazda,219
2000,Germany,Mercedes-Benz,211
